	Exp56_EPB41L5_1_AGCTAG_TCA	Exp56_EPB41L5_2_AGCTAG_AGT	Exp56_CCIN_1_CTGATC_TCA	Exp56_CCIN_2_CTGATC_AGT	Exp33_IDE_11_GCTCAT_TCA	Exp33_DCTN6_11_GCTGTA_TCA	Exp33_UBA2_11_TGAGTG_AGT	Exp33_ETS2_11_TGCCGA_AGT	Exp33_ETS2_10_TGCCGA_TCA	Exp33_CHMP3_11_TGTTGG_AGT	Exp33_CHMP3_10_TGTTGG_TCA	Exp31_TPGS2_24_CCACTC_AAC	Exp31_TPGS2_25_CCACTC_CAG	Exp31_CDK4_24_GCCATG_AAC	Exp31_UBA2_24_TGAGTG_AAC	Exp32_CDK4_24_GCCATG_TCA	Exp32_ITPA_11_GCCTAA_AGT	Exp32_ITPA_10_GCCTAA_TCA	Exp32_UBA2_24_TGAGTG_TCA	Exp92_EPB41L5_1_GTAGCC_TCA	Exp92_ETS2_1_CGAAAC_AGT	Exp92_UBA2_1_GCCTAA_AAC
AASS::intron	0	0	0	1	0	16	2	9	16	21	5	14	10	1	4	5	12	4	4	1	0	0
AATF::exon	0	0	0	0	0	7	0	5	3	13	5	4	3	0	0	2	5	2	1	0	0	0
AATF::intron	3	0	1	1	2	19	6	20	28	58	16	10	6	1	4	8	24	14	9	0	0	0
AATK::exon	0	0	0	0	0	0	0	0	1	3	1	1	4	0	0	0	0	0	0	0	0	0
AATK::intron	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0
ABALON::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ABAT::exon	0	0	0	0	1	2	0	1	1	3	2	1	2	0	0	0	0	1	1	0	0	0
ABAT::intron	0	0	0	0	1	3	3	4	5	6	5	11	3	1	0	4	5	2	1	1	0	0
ABBA01000935.2::exon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01006766.1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA10::exon	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0
ABCA10::intron	0	0	0	0	0	4	1	4	4	8	7	1	3	0	1	1	1	1	2	0	0	0
ABCA11P::exon	0	0	0	0	0	1	0	0	0	4	1	1	0	0	0	0	1	1	1	0	0	0
ABCA12::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12::intron	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	3	0	0	0	0
ABCA13::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13::intron	0	0	0	0	0	2	0	1	1	3	1	0	2	0	0	1	7	0	0	0	0	0
ABCA17P::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCA17P::intron	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	1	0	2	0	0	0
ABCA1::exon	1	0	0	0	0	0	2	1	1	2	0	1	2	0	0	3	1	0	0	0	0	0
ABCA1::intron	0	0	0	0	0	3	2	0	1	1	2	3	6	3	2	4	2	3	1	0	0	0
ABCA3::exon	0	0	0	0	1	5	1	4	5	10	6	2	6	0	2	4	0	3	0	0	0	0
ABCA3::intron	0	0	0	1	0	6	3	13	16	14	6	7	5	1	1	1	5	2	5	0	0	0
ABCA4::exon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4::intron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	17	9	2	0	0	1
ABCA5::exon	0	0	0	1	0	5	1	1	2	3	6	3	4	0	0	1	3	2	1	2	0	0
ABCA5::intron	0	0	0	1	0	10	1	10	20	39	9	3	11	2	4	11	16	13	12	1	0	0
ABCA6::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA6::intron	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
ABCA7::exon	0	0	0	0	1	1	2	1	2	7	2	3	3	1	0	2	4	1	0	0	0	0
ABCA7::intron	0	0	0	0	1	3	2	5	6	7	2	4	0	0	1	3	5	1	1	1	0	0
ABCA8::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCA8::intron	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0
ABCA9::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9::intron	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
ABCB10::exon	0	0	1	0	0	6	0	4	7	10	4	4	3	2	0	4	10	6	1	0	0	0
ABCB10::intron	0	0	0	0	0	13	5	11	15	25	14	6	6	3	2	5	18	10	5	0	0	0
ABCB10P1::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11::intron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCB1::exon	0	0	0	0	1	2	0	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0
ABCB1::intron	0	0	0	0	0	6	2	2	5	6	2	2	2	0	1	2	2	2	1	0	0	0
ABCB4::exon	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4::intron	0	0	0	0	0	2	2	3	0	3	0	0	0	0	0	1	0	0	0	0	0	0
ABCB5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5::intron	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCB6::exon	0	0	0	0	0	9	0	2	6	6	2	2	1	0	0	1	2	2	1	0	0	0
ABCB6::intron	0	0	0	0	0	0	2	0	2	4	3	1	0	0	0	1	0	0	0	0	0	0
ABCB7::exon	0	0	0	0	1	11	1	6	4	13	3	4	4	0	0	3	7	3	0	0	0	0
ABCB7::intron	0	1	1	1	1	14	2	11	11	34	18	7	9	0	2	12	21	19	4	1	0	0
ABCB8::exon	0	0	0	0	1	8	1	4	8	9	7	6	6	1	1	1	8	2	3	0	0	0
ABCB8::intron	0	0	0	0	0	4	0	9	12	15	4	4	5	1	1	5	7	4	3	0	0	0
ABCB9::exon	0	0	0	0	1	0	0	2	1	1	0	2	2	0	0	0	0	1	0	0	0	0
ABCB9::intron	0	0	0	0	0	4	1	4	3	5	5	1	3	1	0	1	3	2	0	0	0	0
ABCC10::exon	0	0	0	0	0	6	1	5	6	10	7	3	1	0	1	4	4	2	1	0	0	0
ABCC10::intron	0	0	0	0	0	5	1	0	5	8	7	1	3	0	1	2	1	1	0	0	0	0
ABCC11::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11::intron	0	0	0	0	0	1	0	2	0	3	0	1	0	0	1	0	1	0	0	0	0	1
ABCC12::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12::intron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
ABCC13::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1::exon	0	0	1	0	0	7	1	5	7	14	12	8	7	0	2	1	11	2	5	1	0	0
ABCC1::intron	0	2	1	0	3	18	3	14	28	78	27	17	11	4	5	15	24	15	6	0	0	0
ABCC2::exon	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2::intron	0	0	0	0	0	0	2	1	1	5	0	0	0	0	0	1	1	0	1	0	0	0
ABCC3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3::intron	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0
ABCC4::exon	0	0	0	0	1	8	3	6	7	9	5	7	2	1	0	6	10	4	3	1	0	0
ABCC4::intron	2	3	0	1	3	34	10	20	42	79	49	19	17	8	7	33	34	20	19	0	0	0
ABCC5::exon	0	0	0	0	2	6	2	7	4	8	7	4	8	1	1	3	6	3	1	0	0	0
ABCC5::intron	1	2	1	0	1	28	2	15	16	38	21	6	8	4	3	10	18	8	3	0	0	0
ABCC6::exon	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC6::intron	0	0	0	0	0	4	1	2	2	2	6	2	3	0	0	3	2	1	2	0	0	0
ABCC6P1::exon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1::intron	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0
ABCC6P2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8::exon	0	0	0	0	0	0	2	0	1	3	0	0	0	1	0	1	0	0	1	0	0	0
ABCC8::intron	0	0	0	0	3	6	2	6	4	9	5	5	4	2	2	2	6	2	3	0	0	0
ABCC9::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9::intron	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1::exon	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0
ABCD1::intron	0	0	0	0	0	2	0	1	1	4	1	1	0	1	1	1	2	0	0	0	0	0
ABCD1P2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P3::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5::intron	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2::exon	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCD2::intron	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0
ABCD3::exon	0	0	1	0	1	13	1	6	17	30	9	13	12	2	2	8	13	6	2	0	0	1
ABCD3::intron	0	1	2	0	1	18	18	19	29	74	27	17	19	8	4	27	29	26	9	1	0	0
ABCD4::exon	0	0	0	0	1	3	0	5	10	10	3	5	7	1	1	5	6	5	2	0	0	0
ABCD4::intron	1	0	0	0	0	16	4	13	16	26	19	13	9	3	2	10	8	13	6	0	0	0
ABCE1::exon	1	0	1	1	5	16	4	14	25	49	31	14	13	1	3	11	14	10	5	0	0	0
ABCE1::intron	1	0	0	0	1	15	2	8	13	20	15	5	9	0	3	7	13	3	4	0	0	0
ABCF1::exon	1	0	0	0	3	13	3	11	8	27	21	9	12	3	2	5	8	7	3	0	0	0
ABCF1::intron	0	0	0	0	1	4	2	2	5	9	6	2	4	1	1	0	5	1	2	0	0	0
ABCF2::exon	1	1	0	0	1	17	2	12	10	35	14	8	7	1	0	2	8	7	2	1	1	0
ABCF2::intron	1	0	0	0	0	2	0	3	4	9	3	1	1	1	1	1	2	3	1	0	0	0
ABCF2P1::exon	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF2P2::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCF3::exon	0	0	0	0	0	5	1	5	2	9	3	2	1	0	0	1	4	2	0	0	0	0
ABCF3::intron	0	0	0	0	0	2	0	0	2	5	1	0	0	0	0	1	0	0	0	0	0	0
ABCG1::exon	0	0	0	0	0	0	1	1	0	0	1	2	5	0	0	3	1	1	0	0	0	0
ABCG1::intron	0	0	0	0	0	1	4	5	3	5	4	5	6	1	3	3	1	1	2	0	0	0
ABCG2::exon	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1
ABCG2::intron	0	0	1	1	0	0	1	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0
ABCG4::exon	0	0	0	0	0	0	0	0	0	3	3	2	2	1	0	0	0	1	1	0	0	0
ABCG4::intron	0	0	0	0	0	1	0	0	2	2	0	2	0	0	1	0	0	1	0	0	0	0
ABCG5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5::intron	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0
ABCG8::exon	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8::intron	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ABHD10::exon	0	0	0	1	0	8	2	6	7	14	6	9	10	0	1	9	5	4	3	0	0	0
ABHD10::intron	0	0	0	0	1	6	1	6	4	5	4	0	3	1	2	1	4	0	4	0	0	0
ABHD11::exon	0	0	0	0	0	2	0	1	5	1	5	1	1	0	1	4	1	1	0	0	0	0
ABHD11::intron	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12::exon	0	0	0	0	1	1	0	1	5	5	1	0	0	0	2	0	1	0	0	0	0	0
ABHD12::intron	0	0	0	0	3	14	5	6	15	29	21	9	8	3	6	12	18	16	7	0	0	0
ABHD12B::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12B::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13::exon	0	0	0	0	1	2	2	1	1	5	1	5	1	0	0	2	0	4	0	0	0	0
ABHD13::intron	0	0	0	0	0	2	0	0	1	4	1	0	0	0	0	1	0	0	0	0	0	0
ABHD14A::exon	0	0	0	0	0	0	1	7	0	0	3	1	4	0	0	0	1	1	0	0	0	0
ABHD14A::intron	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD14B::exon	0	0	1	0	3	14	1	4	4	17	8	4	10	0	1	6	2	2	3	0	0	0
ABHD14B::intron	0	0	0	0	0	1	0	3	2	3	5	0	1	2	1	0	4	1	1	0	0	0
ABHD15::exon	0	0	1	0	0	1	1	0	2	2	4	2	1	0	0	1	2	0	0	0	0	0
ABHD15::intron	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	1	0	0	0
ABHD16A::exon	0	0	0	0	1	1	0	1	4	3	2	0	2	0	0	1	4	1	1	0	0	0
ABHD16A::intron	0	0	0	0	0	2	1	3	3	4	4	0	0	0	0	1	0	1	1	0	0	0
ABHD16B::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A::exon	0	0	0	0	0	1	0	2	1	1	2	1	1	0	0	1	3	1	0	0	0	0
ABHD17A::intron	0	0	0	0	0	2	1	6	4	6	4	0	0	2	0	2	2	4	1	0	0	0
ABHD17AP1::exon	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP1::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP3::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP4::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP5::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP6::intron	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP7::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP7::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP8::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9::exon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17AP9::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17B::exon	0	0	0	0	0	6	0	2	3	6	5	4	1	0	0	1	3	1	0	0	0	0
ABHD17B::intron	0	0	2	1	2	13	4	12	13	39	20	5	9	2	1	10	13	8	2	1	0	0
ABHD17C::exon	0	0	0	0	2	3	1	5	7	11	6	4	7	1	0	4	3	2	0	0	0	0
ABHD17C::intron	0	0	0	1	1	7	5	4	4	21	10	6	4	3	1	8	6	7	0	0	0	1
ABHD18::exon	0	0	0	0	0	3	2	1	1	5	2	0	1	0	1	1	2	1	0	0	0	0
ABHD18::intron	0	0	2	0	0	12	4	11	13	29	14	5	4	3	6	11	11	8	8	0	0	0
ABHD1::exon	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ABHD1::intron	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0
ABHD2::exon	0	0	1	0	2	6	1	3	8	14	9	6	3	1	1	7	5	3	2	0	0	0
ABHD2::intron	1	0	0	0	1	8	4	7	12	31	7	3	4	0	6	11	15	8	4	0	0	0
ABHD3::exon	0	0	1	0	0	3	0	3	3	7	5	5	4	0	0	6	4	0	1	0	0	0
ABHD3::intron	0	0	0	0	0	8	6	6	19	24	14	10	4	2	5	23	11	4	2	0	0	0
ABHD4::exon	0	0	0	0	0	2	0	1	3	1	2	2	6	1	0	0	1	1	0	0	0	0
ABHD4::intron	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0
ABHD5::exon	0	0	0	0	0	2	0	2	1	2	0	4	1	0	1	1	1	1	2	0	0	0
ABHD5::intron	0	0	0	0	0	6	3	4	9	14	6	4	2	2	0	1	8	5	0	1	0	0
ABHD6::exon	0	0	0	0	1	1	0	1	0	2	1	1	1	0	0	2	1	0	1	0	0	0
ABHD6::intron	0	1	0	0	0	4	0	1	2	8	8	5	6	0	1	9	3	8	4	0	0	0
ABHD8::exon	0	0	1	0	0	2	0	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0
ABHD8::intron	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
